Chemical name 	CAS RN	smiles	End Points (pLC50,mg/L )	End Points (LC50,mg/L )	End points annotation	Species	Reference	html
Benzamide	55-21-0	C1=CC=CC=C1C(=O)N	2.820201459	661	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,1-Dimethyl hydrazine	57-14-7	CN(C)N	0.894869657	7.85	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pentobarbital sodium	57-33-0	CC(C(C(NC(O)=N1)=O)(C1=O)CC)CCC	1.694605199	49.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Amobarbital	57-43-2	N1C(=O)C(CC)(CCC(C)C)C(=O)NC1=O	1.931457871	85.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Caffeine	8/2/1958	O=C1C2=C(N=CN2C)N(C(=O)N1C)C	2.178976947	151	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methyl-1,4-naphthoquinone	58-27-5	C1=CC=C2C(=C1)C(=O)C(C)=CC2=O	-0.958607315	0.11	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,3,4,6-Tetrachlorophenol	58-90-2	OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl	0.012837225	1.03	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Chloro-3-methyl phenol	59-50-7	OC1=CC(C)=C(Cl)C=C1	0.737987326	5.47	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Tolazoline hydrochloride	59-97-2	C1=CC=CC=C1CC2=NCCN2	2.549003262	354	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Amphetamine sulfate	60-13-9	C1=CC=CC=C1CC(N)C	1.459392488	28.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethyl ether	60-29-7	O(CC)CC	3.408239965	2560	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Strychnine hemsulphate salt	60-41-3	O=C2N5[C@@]3([H])[C@@]1([H])[C@](C[C@]4([H])N(C7)CC[C@]34C6=C5C=CC=C6)([H])C7=CCO[C@]([H])1C2	0.045322979	1.11	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Aniline	62-53-3	NC1=CC=CC=C1	2.021189299	105	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Carbaryl (sevin)	63-25-2	O=C(OC1=C2C(=CC=C1)C=CC=C2)NC	0.942008053	8.75	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethanol	64-17-5	CCO	4.167317335	14700	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Nicotine sulfate	65-30-5	C1(=NC=CC=C1C2CCCN2C)	1.139879086	13.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Hydroxybenzamide	65-45-2	C1(O)=CC=CC=C1C(=O)N	2.004321374	101	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexanal	66-25-1	CCCCCC=O	1.243038049	17.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dicumarol	66-76-2	O=C1OC2=CC=CC=C2C(O)=C1CC3=C(O)C4=CC=CC=C4OC3=O	0.7084209	5.11	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Phenoxybenzaldehyde	67-36-7	C1(C=O)=CC=C(OC2=CC=CC=C2)C=C1	0.662757832	4.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Methanol	67-56-1	CO	4.46834733	29400	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Propanol	67-63-0	OC(C)C	3.938519725	8680	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Acetone	67-64-1	CC(=O)C	3.854913022	7160	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Chloroform	67-66-3	ClC(Cl)Cl	1.849419414	70.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Methyl sulfoxide	67-68-5	CS(=O)C	4.531478917	34000	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexachloroethane	67-72-1	ClC(C(Cl)(Cl)Cl)(Cl)Cl	0.152288344	1.42	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,2'-Methylene bis(3,4,6-trichlorophenol)	70-30-4	OC1=C(C=C(C(=C1CC2=C(C(=CC(=C2Cl)Cl)Cl)O)Cl)C1)C1	-1.698970004	0.02	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4'-Aminopropiophenone	70-69-9	C1=CC(=CC=C1N)C(=O)CC	2.164352856	146	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Propanol	71-23-8	OCCC	3.658011397	4550	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
n-Butanol	71-36-3	CCCCO	3.238046103	1730	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Pentanol	71-41-0	CCCCCO	2.673941999	472	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Benzene	71-43-2	C1=CC=CC=C1	1.245512668	17.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,1,1-Trichloroethane	71-55-6	CC(Cl)(Cl)Cl	1.674861141	47.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Thiopental,sodium salt	71-73-8	SC1=NC(C(C(C)CCC)(CC)C(N1)=O)=O	1.418301291	26.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Acetonitrile	5/8/1975	CC#N	3.215901813	1644	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethanal	75-07-0	CC=O	1.5289167	33.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dichloromethane	9/2/1975	ClCCl	2.51851394	330	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Iodoform	75-47-8	IC(I)I	0.465382851	2.92	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methyl-2-propanol	75-65-0	CC(C)(C)O	3.80685803	6410	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,2,2-Trifluoroethanol	75-89-8	C(F)(F)(F)CO	2.075546961	119	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,3-Dimethyl-2-butanone	75-97-8	CC(=O)C(C)(C)C	1.939519253	87	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pentachloroethane	1/7/1976	ClC(C(Cl)Cl)(Cl)Cl	0.876794976	7.53	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5,5-Dimethylhydantoin	77-71-4	CC1(C)NC(=O)NC1=O	4.216429831	16460	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Methyl-3-pentanol	77-74-7	CCC(O)(C)CC	2.827369273	672	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Methyl-1-pentyn-3-ol	77-75-8	C#CC(O)(C)CC	3.086359831	1220	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Ethynyl-cyclohexanol	78-27-3	C1CCCC(C#C)(O)C1	2.408239965	256	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Tris(2-butoxyethyl) phosphate	78-51-3	CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC	1.049218023	11.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methyl-1-propanol	78-83-1	OCC(C)C	3.155336037	1430	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2-Dichloropropane	78-87-5	CC(Cl)CCl	2.103803721	127	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2-Diaminopropane	78-90-0	NCC(N)C	3.004321374	1010	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Butanol	78-92-2	CC(O)CC	3.564666064	3670	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Butanone	78-93-3	CCC(=O)C	3.507855872	3220	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Amino-2-propanol	78-96-6	OC(C)CN	3.401400541	2520	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,1,2-Trichloroethane	79-00-5	ClC(CCl)Cl	1.911690159	81.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Trichloroethylene	1/6/1979	ClC(=CCl)Cl	1.644438589	44.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Methyl acetate	79-20-9	CC(=O)OC	2.552668216	357	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,1,2,2-Tetrachloroethane	79-34-5	ClC(C(Cl)Cl)Cl	1.307496038	20.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
beta-Ionone	79-77-6	C1(C)(C)CCCC(C)=C1C=CC(C)=O	0.706717782	5.09	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4,4'-Isopropylidenebis(2,6-dichlorophenol)	79-95-8	ClC1=C(O)C(Cl)=CC(=C1)C(C2=CC(Cl)=C(O)C(=C2)Cl)(C)C	0.123851641	1.33	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-tert-Pentylphenol	80-46-6	C(C1C=CC(=CC=1)O)(CC)(C)C	0.413299764	2.59	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,8-Diamino-p-menthane	80-52-4	C1CC(CCC1(N)C)C(C)(N)C	1.814913181	65.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
alpha,alpha-2,6-Tetrachlorotoluene	81-19-6	ClC(Cl)C1=C(Cl)C=CC=C1Cl	-0.013228266	0.97	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Acenaphthene	83-32-9	C1=CC=C2C=CC=C3C2=C1CC3	0.238046103	1.73	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Methylindole	83-34-1	CC1=CNC2=C1C=CC=C2	0.946452265	8.84	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Rotenone	83-79-4	O=C([C@](C(C=C4OC)=C(C=C4OC)OC3)([H])[C@]3([H])O2)C(C=C5)=C2C1=C5O[C@@H]([C@@](C)=C)C1	-2.283996656	0.0052	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diphenyl phtgalate	84-62-8	C1=CC=CC=C1OC(=O)C2=CC=CC=C2C(=O)OC3=CC=CC=C3	-1.096910013	0.08	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethyl phthalate	84-66-2	CCOC(=O)C1=CC=CC=C1C(=O)OCC	1.50242712	31.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Di-n-butylorthophthalate	84-74-2	C1=CC=C(C(=O)OCCCC)C(=C1)C(=O)OCCCC	0	1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Salicylanilide	87-17-2	C1=CC=CC=C1NC(=O)C2=C(O)C=CC=C2	0.596597096	3.95	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexachloro-1,3-butadiene	87-68-3	Cl\C(Cl)=C(Cl)/C(Cl)=C(Cl)\Cl	-1.045757491	0.09	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pentachlorophenol	87-86-5	OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl	-0.610833916	0.245	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4,6-Trichlorophenol	6/2/1988	OC1=C(C=C(C=C1Cl)Cl)Cl	0.689308859	4.89	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Trifluoromethyl-4-nitrophenol	88-30-2	OC1=CC(C(F)(F)F)=C([N+]([O-])=O)C=C1	0.960946196	9.14	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Anthranilamide	88-68-6	C1(N)=CC=CC=C1C(=O)N	2.596597096	395	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Nitrophenol	88-75-5	OC1=C([N+]([O-])=O)C=CC=C1	2.204119983	160	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-sec-Butyl-4,6-dinitrophenol (dinoseb)	88-85-7	OC1=C(C=C(C=C1C(CC)C)[N+](=O)[O-])[N+](=O)[O-]	-0.271646218	0.535	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Salicylaldehyde	2/8/1990	O=CC1=CC=CC=C1O	0.361727836	2.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Naphthol	90-15-3	OC1=CC=CC2=CC=CC=C12	0.665580991	4.63	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Phenylphenol	90-43-7	OC1=C(C=CC=C1)C2=CC=CC=C2	0.788875116	6.15	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,5-Dibromosalicylaldehyde	90-59-5	BrC1=C(O)C(C=O)=CC(Br)=C1	-0.070581074	0.85	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Naphthalene	91-20-3	C1=C2C(=CC=C1)C=CC=C2	0.788168371	6.14	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Quinoline	91-22-5	N1=CC=CC2=C1C=CC=C2	1.890979597	77.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Diethylcyclohexylamine	91-65-6	CCN(CC)C1CCCCC1	1.330413773	21.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Diethylaniline	91-66-7	CCN(CC)C1=CC=CC=C1	1.214843848	16.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-(N-Ethyl-m-toluidino)ethanol	91-88-3	OCCN(CC)C1=CC(C)=CC=C1	1.723455672	52.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Benzoylacetone	93-91-4	C1=CC=CC=C1C(=O)CC(=O)C	0.041392685	1.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethyl p-aminobenzoate	9/7/1994	C1=CC(N)=CC=C1C(=O)OCC	1.552668216	35.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Piperine (aliphatic)	94-62-2	O1COC2=CC=C(/C=C/C=C/C(=O)N3CCCCC3)C=C12	0.894316063	7.84	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dihydroxybenzaldehyde	1/2/1995	C1(C=O)=C(O)C=C(O)C=C1	1.117271296	13.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
o-Xylene	95-47-6	CC1=C(C)C=CC=C1	1.214843848	16.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
o-Cresol	95-48-7	OC1=C(C)C=CC=C1	1.146128036	14	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2-Dichlorobenzene	95-50-1	ClC1=C(C=CC=C1)Cl	0.976349979	9.47	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
