LogS	SMILES	Reference
-6.19	c1cc2ccc3cccc4ccc(c1)c2c34	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.87	c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc34	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.23	c1ccc2c(c1)c3cccc4c5ccccc5cc2c34	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.66	c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.26	c1ccc2c(c1)ccc3ccccc23	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8	c1ccc2c3c(ccc2c1)c4cccc5cccc3c45	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.8	c1cc2cccc3c4cccc5cccc(c(c1)c23)c45	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.49	c1ccc2cc3c(cc2c1)c4cccc5cccc3c45	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6	c1ccc2c(c1)c3cccc4cccc2c34	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.74	c1ccc2c3ccccc3c4ccccc4c2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.06	c1ccc2c(c1)ccc3c4ccccc4ccc23	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.6	c1ccc2cc3cc4ccccc4cc3cc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.35	c1ccc2cc3ccccc3cc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.6	c1ccc2ccccc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.48	C[C@@H]1CCC(C)(C)C1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.11	c1ccc(cc1)c2ccc(cc2)c3ccccc3	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.31	c1ccc(cc1)c2ccccc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.82	C=Cc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.68	C1c2ccccc2c3ccc4ccccc4c13	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.04	C1c2ccccc2c3cc4ccccc4cc13	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.22	Cc1cccc2c1Cc3ccccc23	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.91	C1c2ccccc2c3ccccc13	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.96	C1Cc2ccc3CCCc4ccc(C1)c2c34	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.92	Cc1ccc2c(ccc3c4CCc5cccc(cc23)c45)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.92	Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.85	C1Cc2c3ccc4ccccc4c3cc5cccc1c25	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.63	C1Cc2cccc3cccc1c23	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.04	C1Cc2ccccc2C1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.37	C1CCc2ccccc2C1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.64	C1CCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.1	C1CCCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.52	C1CCCCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.15	C1CCCCCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.27	CC1=CCCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.59	C1CCC=CC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.18	C1CCC=CCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.1	C1CC=CC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.97	C1C=CCC=C1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.15	C1C=CC=CC=C1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.15	C1C=CC=CC=C1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.08	CCCCCC1CCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.74	CCCC1CCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.3	CC1CCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.25	CCC1CCCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.85	CC1CCCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.47	CC1CCC(C)CC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4	CC(=C)[C@@H]1CCC(=CC1)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.19	C1CCC2CCCCC2C1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.27	C[C@@H]1CCCC[C@H]1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.64	c1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.96	C1=Cc2cccc3cccc1c23	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.15	CC(C)(C)Cc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.36	CCCC(C)(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.05	CC(C)CCC(C)(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.23	CCC(C)(C)CC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.15	CCC(C)(C)c1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.55	CCC(C)(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.74	CC(C)CC(C)(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.66	CC(C)(C)c1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.36	CC(C)C(C)(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.17	C(c1ccccc1)c2ccccc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-0.4	C=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.62	C(Cc1ccccc1)c2ccccc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.37	CCCc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.03	CCCC(=C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.64	CCCC#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.64	CCCCCc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.01	CCCCCC#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.24	CCCCCCCC#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.33	CCCCCCCCCCCCCCCCCCCCCCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.17	CCCCCCCCCCCCCCCCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.4	CCCCCCCCCCCCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.96	CCCCCCCCCCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.88	CCCCCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.51	CCCCCCCCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.24	CCCCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.05	CCCCCCCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.21	CCCCCCc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.66	CCCCCCC#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.53	CCCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.44	CCCCCCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.84	CCCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.73	CCCCCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.06	CCCCc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.36	CCCCC#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.18	CCCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.23	CCCCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.82	CCCC\C=C/C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.82	CCCC\C=C/C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.57	CCCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.68	CCCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.68	C=CCCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.17	CCc1cccc2ccccc12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.28	CCc1ccccc1CC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.21	CCc1ccccc1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.89	CCc1ccc2cc3ccccc3cc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.29	CCc1ccc2ccccc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.75	CCc1ccc(CC)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.11	CCc1ccc(C)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.77	CCc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.99	CCC#CCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.24	CCC#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.73	CCC(=C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.94	CCC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.94	CCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.54	CC\C=C\C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.54	CC\C=C\C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.09	C=CCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.02	Cc1c2ccccc2c(C)c3c1ccc4ccccc34	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.57	Cc1cc2c3ccccc3ccc2c4ccccc14	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.01	Cc1c(C)c2c3ccccc3ccc2c4ccccc14	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.59	Cc1cc2ccccc2c3ccc4ccccc4c13	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.85	Cc1cccc2c1ccc3ccccc23	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.57	Cc1c2ccccc2c(C)c3ccccc13	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.92	Cc1ccc(C)c2c(C)cccc12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.14	Cc1ccc(C)c2ccccc12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.74	Cc1cccc2c(C)cccc12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.89	Cc1c2ccccc2cc3ccccc13	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.29	Cc1cc(C)c2ccccc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.7	Cc1cccc2ccccc12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.23	Cc1c(C)c(C)c(C)c(C)c1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4	Cc1cc(C)c(C)c(C)c1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.72	Cc1cc2ccccc2cc1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.59	Cc1cc(C)c(C)cc1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.31	Cc1ccc(C)c(C)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.2	Cc1cccc(C)c1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.8	Cc1ccccc1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.84	Cc1ccc2c(ccc3ccccc23)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.96	Cc1ccc2cc3ccccc3cc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.89	Cc1ccc2cc(C)ccc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.77	Cc1ccc2ccccc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.4	Cc1cc(C)cc(C)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.82	Cc1cccc(C)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.62	Cc1ccc(cc1)c2ccccc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.77	Cc1ccc(C)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.21	Cc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-0.41	CC#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.4	CC(=C)C(=C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.33	CC(=C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.03	CC(=C)C=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.56	CC=C(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.36	CC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.08	CC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-0.9	C	J. Chem. Inf. Model. 2007, 47, 1395-1404
0.29	C#C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.12	CC(C)Cc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.08	CCCCCC(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.16	CCCC[C@H](C)CC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.74	CCCC(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.68	CCC(C)CC	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.89	CC[C@@H](C)c1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.18	CCC(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.87	C=CC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.24	CC(C)CC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.26	CC(C)CC(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.76	CC(C)c1ccccc1C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.77	CC(C)c1ccc(C)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.27	CC(C)c1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.55	CC(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.73	CC(C)C=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.28	CC[C@@H](C)C(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.65	CC(C)C(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.8	CC(C)C(C)C(C)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.26	ClC1(Cl)C2(Cl)[C@]3(Cl)C4(Cl)C(=O)C5(Cl)[C@@](Cl)(C1(Cl)[C@]35Cl)[C@@]24Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.8	ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C(Cl)(C1(Cl)C35Cl)C24Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.61	COC1=CC(=O)C[C@@H](C)[C@@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.88	CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.52	CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@@]2(O)C(=O)C(=C1O)C(=O)N	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.93	Clc1cccc2ccccc12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.61	OC(=O)CN1C(=O)Sc2cccc(Cl)c12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.29	ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H]4C[C@H]([C@H]5O[C@@H]45)[C@H]3[C@]1(Cl)C2(Cl)Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.29	Cl[C@@H]1[C@@H]2O[C@@H]2[C@@H]3[C@H]1[C@]4(Cl)C(=C(Cl)[C@@]3(Cl)C4(Cl)Cl)Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.33	ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H]4C[C@H](C=C4)[C@H]3[C@]1(Cl)C2(Cl)Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.86	Cl[C@@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@]3(Cl)C(=C(Cl)[C@@]2(Cl)C3(Cl)Cl)Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.64	ClC1=C(Cl)[C@@]2(Cl)[C@@H]3C=CC[C@@H]3[C@]1(Cl)C2(Cl)Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.32	Cl[C@H]1C=C[C@H]2[C@@H]1[C@]3(Cl)C(=C(Cl)[C@@]2(Cl)C3(Cl)Cl)Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.46	O[C@H]1C=C[C@H]2[C@@H]1[C@]3(Cl)C(=C(Cl)[C@@]2(Cl)C3(Cl)Cl)Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.43	Clc1c(Cl)c(Cl)c2nccnc2c1Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.98	Clc1cc(Cl)c2nsnc2c1Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-11.62	Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-10.26	Clc1cc(c(Cl)c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-10.41	Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.92	Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.94	Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.92	Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2ccccc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.28	Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.64	Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.02	COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.3	Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.92	Clc1cc(Cl)c(cc1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.43	Clc1ccccc1c2c(Cl)cc(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.66	Clc1ccc(cc1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.1	Oc1c(Cl)cc(Cl)c(Cl)c1Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.7	COc1c(Cl)ccc(Cl)c1C(=O)O	J. Chem. Inf. Model. 2007, 47, 1395-1404
-9.16	Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.42	Clc1cccc(c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.39	Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.68	Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.21	Clc1cc(c(Cl)c(Cl)c1Cl)c2ccccc2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.82	Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.16	Clc1cc(c(Cl)c(Cl)c1Cl)c2ccccc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
