Chemical name 	CAS RN	SMILES	End Points (pIGCC50,ug/L )	Species	Reference
2,4-Chloro-6-nitrophenol b	609892	C1=C(C=C(C(=C1Cl)O)[N+](=O)[O-])Cl	1.75	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Chloro-4-nitrobenzene	100005	C1=CC(=CC=C1[N+](=O)[O-])Cl	0.43	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2,3-trichloro-5-nitrobenzene	20098480	[N+](c1cc(Cl)c(c(c1)Cl)Cl)(=O)[O-]	1.55	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Fluoro-4-nitrobenzene	350469	C1=CC(=CC=C1[N+](=O)[O-])F	0.1	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,3,5,6-Tetrachloronitrobenzenea	117180	C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl	1.82	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-bromo-4-nitrobenzene	586787	[N+](c1ccc(cc1)Br)(=O)[O-]	0.38	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,3,4,6-Tetrafluoronitrobenzene	314410	C1=C(C(=C(C(=C1F)F)F)[N+](=O)[O-])F	1.87	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,3,4,5-Tetrachloronitrobenzene	879390	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-]	1.78	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,4-Dichloronitrobenzene	99547	C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl	1.16	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Chloro-4-fluoronitrobenzene	350301	C1=CC(=C(C=C1[N+](=O)[O-])Cl)F	0.8	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-bromo-2-fluoro-6-nitroanisole	74266663	O(C)c1c([N+](=O)[O-])cc(cc1F)Br	0.97	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-amino-6-chloro-4-nitrophenol	6358094	[N+](c1cc(N)c(c(c1)Cl)O)([O-])=O	1.2	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-Dichloro-6-bromoaniline	697-86-9	Nc1c(Br)cc(cc1Cl)Cl	1.44	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-chloro-2,6-dibromoaniline	874179	Nc1c(Br)cc(cc1Br)Cl	1.52	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,3-Dinitro-2,4,5-trichlorobenzene	2678219	C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-]	2.6	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Chloro-2-nitrotoluene	89598	CC1=C(C=C(C=C1)Cl)[N+](=O)[O-]	0.82	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-chloro-2-nitrophenol	89645	[N+](=O)([O-])c1c(O)ccc(c1)Cl	2.12	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-Dinitro-1-iodobenzene	709499	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])I	2.12	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Fluoro-2-nitrobenzene	1493272	C1=CC=C(C(=C1)[N+](=O)[O-])F	0.23	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Chloro-2-nitrobenzene	88733	C1=CC=C(C(=C1)[N+](=O)[O-])Cl	0.68	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Nitroaniline	99092	C1=CC(=CC(=C1)[N+](=O)[O-])N	0.03	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,6-Iodo-4-nitrophenol b	305851	C1=C(C=C(C(=C1I)O)I)[N+](=O)[O-]	1.81	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,4-Dinitrotetrachlorobenzene	20098388	C1(=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl)[N+](=O)[O-]	2.82	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Methyl-2-nitroaniline	89623	CC1=CC(=C(C=C1)N)[N+](=O)[O-]	0.37	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,6-bromo-4-nitrophenol	99285	[N+](c1cc(Br)c(c(c1)Br)O)(=O)[O-]	1.36	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Bromo-2-nitrobenzene	577195	C1=CC=C(C(=C1)[N+](=O)[O-])Br	0.75	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Chloro-2,4-dinitrobenzene	97007	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl	2.16	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Bromo-2,4-dinitrobenzene	584485	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br	2.31	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-Dinitro-1-fluorobenzene	70348	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F	1.71	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,6-dichloro-4-nitrophenol	618804	[N+]([O-])(=O)c1cc(Cl)c(O)c(c1)Cl	0.61	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-amino-3,5-dinitrobenzamide	54321798	[N+]([O-])(=O)c1c(N)c([N+](=O)[O-])cc(c1)C(N)=O	0.51	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
5-fluoro-2-nitrophenol	446366	[N+](c1c(cc(cc1)F)O)(=O)[O-]	1.12	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4,6-DINITROPYROGALLOL	3264719	[N+](=O)([O-])C1=C(O)C(O)=C(C(=C1)[N+](=O)[O-])O	1.18	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-Dichloroaniline	554007	C1=CC(=C(C=C1Cl)Cl)N	0.56	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,3-Dinitrobenzene	99650	C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]	0.76	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Pentafluoronitrobenzene	880784	C1(=C(C(=C(C(=C1F)F)F)F)F)[N+](=O)[O-]	2.43	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2,3-Trifluoro-4-nitrobenzene	771697	C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F	1.89	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2,3-Trichloro-4-nitrobenzene	17700093	C1=CC(=C(C(=C1[N+](=O)[O-])Cl)Cl)Cl	1.51	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,3-Dichloronitrobenzene	3209221	C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-]	1.07	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,4-Dinitrobenzene	100254	C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-]	1.3	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
COC(=O)C1=C(C=C(C=C1)Cl)[N+](=O)[O-]	42087809	COC(=O)C1=C(C=C(C=C1)Cl)[N+](=O)[O-]	0.82	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
5-chloro-2-nitrobenzamide	40763960	c1(cc(ccc1[N+](=O)[O-])Cl)C(=O)N	-0.32	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Chloro-3,5-dinitrobenzonitrile	1930729	C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C#N	2.66	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Chloro-3-nitrophenol	610786	C1=CC(=C(C=C1O)[N+](=O)[O-])Cl	1.27	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
5-chloro-2,4-dinitrotoluene	51676745	c1c(C)c(cc(c1Cl)[N+](=O)[O-])[N+](=O)[O-]	2.33	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,5-Dichloroaniline	95829	C1=CC(=C(C=C1Cl)N)Cl	0.58	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,5-dinitrobenzonitrile	4110354	[N+](c1cc([N+]([O-])=O)cc(C#N)c1)([O-])=O	1.22	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-dichloro-6-nitroaniline	2683-43-4	N(=O)(=O)c1c(N)c(Cl)cc(c1)Cl	1.26	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Bromo-5-nitrotoluene	7149704	CC1=C(C=CC(=C1)[N+](=O)[O-])Br	1.16	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-chloro-3-nitrobenzaldehyde	16588344	[N+](c1c(ccc(c1)C=O)Cl)(=O)[O-]	1.19	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-chloro-3-nitrobenzotrifluoride	121175	[N+](c1cc(C(F)(F)F)ccc1Cl)(=O)[O-]	0.85	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,6-dibromoaniline	608300	c1(c(Br)cccc1Br)N	0.9	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Undecanonitrile	2244077	C(CCCCCC)CCCC#N	1.65	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Lauronitrile	2437254	C(CCCCCC#N)CCCCC	1.9	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Octyl cyanide	2243278	C(CCCCC)CCC#N	0.62	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Pentanonitrile	110598	C(CCC)C#N	-1.01	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
(8CI9CI)	124129	C(CCCC#N)CCC	0.28	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
WLN: NC5	628739	C(CCCCC)#N	-0.38	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
(8CI9CI)	629083	CCCCCCC#N	-0.24	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
C(CCCC#N)#N	544138	C(CCCC#N)#N	-1.64	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Butanenitrile (9CI)	109740	C(CCC)#N	-1.44	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Nitrile adipico(ITALIAN)	111693	C(CCCC#N)C#N	-1.54	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Propannitril (Czech)	107120	C(C)C#N	-1.97	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
(Czech)	110612	C(CC#N)C#N	-1.82	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Valeronitrile, 4-methyl-	542541	C(CCC(C)C)#N	-0.79	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Methylbutane secondary monomitrile	625285	C(CC#N)(C)C	-0.88	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
.delta.-Chlorovaleronitrile	6280871	ClCCCCC#N	-0.63	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
7-Chloroheptanonitrile	22819916	N#CCCCCCCCl	0.29	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Pentanenitrile,5-bromo- (9CI)	5414211	N#CCCCCBr	-0.21	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
6-Cyanohexyl bromide	20965279	N#CCCCCCCBr	0.51	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
[AKA	75058	C(C)#N	-2.28	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
(E)-3-Pentenenitrile	16529-66-1	C(\CC#N)=C\C	-0.953	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Pentenenitrile,	16529661	C(CC=CC)#N	-0.95	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,	630182	C(C(C)(C)C)#N	-1.33	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-chloro-	628206	ClCCCC#N	-0.93	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-bromo-	5332069	C(CCCBr)#N	-0.47	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Butenenitrile	109751	C(CC=C)#N	-1.48	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Isopropylkyanid	78820	C(C(C)C)#N	-1.62	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
methacrylonitrile	126-98-7	C(C#N)(C)=C	-1.653	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
N(CC(CO)O)C	40137222	N(CC(CO)O)C	-1.534	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-(Methylamino)-1,2-propanediol	40137-22-2	C([C@@H](CO)O)NC	-1.5341	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2-Propanediol, 3-amino-	616308	OCC(O)CN	-1.81	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
C(CN)(CN)O	616295	C(CN)(CN)O	-1.43	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
free	534032	OCC(N)CO	-1.68	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
L-t-Leucinol	1.12E+08	C(N)(C(C)(C)C)CO	-0.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Amino-3,3-dimethyl-1-butanol	112245-13-3	C([C@@H](CO)N)(C)(C)C	-0.718	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Propyn-1-amine, N-methyl-(9CI)	35161718	C(CNC)#C	-0.98	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-phenyltoluene	644086	c1(c2ccccc2)ccc(cc1)C	1.66	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Toluene	108883	CC1=CC=CC=C1	0.25	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-xylene	106423	CC1=CC=C(C=C1)C	0.25	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Ethylbiphenyl	5707448	CCc1ccc(c2ccccc2)cc1	1.97	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Biphenylmethanol	3597919	C1=CC=C(C=C1)C2=CC=C(C=C2)CO	0.92	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Biphenylnitrile	2920-38-9	C(#N)c1ccc(cc1)c1ccccc1	1.24	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Biphenylcarboxaldehyde	3218368	C1=CC=C(C=C1)C2=CC=C(C=C2)C=O	1.12	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Biphenyl	92524	C1=CC=C(C=C1)C2=CC=CC=C2	1.05	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Phenylacetylene	536-74-3	C(#C)c1ccccc1	0.01	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2,4-trimethylbenzene	95636	c1(c(ccc(c1)C)C)C	0.78	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-nitrobiphenyl	2113-58-8	N(=O)(=O)c1cc(ccc1)c1ccccc1	1.57	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-nitrobiphenyl	86-00-0	N(=O)(=O)c1c(cccc1)c1ccccc1	1.3	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Isopropylbenzene	98828	CC(C)C1=CC=CC=C1	0.69	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-methyl-	620235	C(=O)C1=CC(C)=CC=C1	0.08	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Phenyl-1-propanol	1123859	CC(CO)C1=CC=CC=C1	-0.4	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
CC1=CC(=CC=C1)O	108394	CC1=CC(=CC=C1)O	-0.08	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
b-Methylphenethylamine	582229	CC(CN)C1=CC=CC=C1	-0.28	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Methylbenzyl	587031	CC1=CC(=CC=C1)CO	-0.24	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Phenylpropylamine	582-22-9	C([C@H](C)c1ccccc1)N	-0.05	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-tolunitrile	620-22-4	C(#N)c1cc(C)ccc1	-0.25	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Methyl benzylamine	104847	CC1=CC=C(C=C1)CN	-0.01	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Methylbenzyl alcohol	589184	CC1=CC=C(C=C1)CO	-0.49	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-cyanonaphthalene	86-53-3	C(#N)c1c2c(ccc1)cccc2	0.69	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Methylester kyseliny mravenci (Czech)	107313	C(=O)OC	-1.5	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Diethylene disulfide	505293	C1CSCCS1	-0.11	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
(E)-1,4-dibromo-2-butene	821-06-7	C(=C\CBr)\CBr	1.925	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Butene,1,4-dibromo-, trans-	821067	C(C=CCBr)Br	1.92	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2,	533733	C1(C(=CC(=CC=1)O)O)O	0.44	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,3-Dihydroxybenzene	108463	C1=CC(=CC(=C1)O)O	-0.65	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
OC1=CC(O)=CC(O)=C1	108736	OC1=CC(O)=CC(O)=C1	-1.26	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,4-Diidrobenzene	123319	C1(C=CC(=CC=1)O)O	0.47	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Katechol	120809	C1(C(=CC=CC=1)O)O	0.75	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Phenol	108952	C1=CC=C(C=C1)O	-0.35	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Pyrogallol	87661	OC1=C(O)C(O)=CC=C1	0.85	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Phenylphenol	92-69-3	Oc1ccc(cc1)c1ccccc1	1.39	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Chlororesorcinol	95885	C1=CC(=C(C=C1O)O)Cl	0.13	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Phenylphenol	580-51-8	Oc1cc(ccc1)c1ccccc1	1.35	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
p-Cresol	106445	CC1=CC=C(C=C1)O	-0.16	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-aminophenol	123-30-8	Nc1ccc(cc1)O	-0.08	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
orcinol	6153395	c1c(cc(cc1O)C)O	-0.39	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Benzoylphenol	1137424	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)O	1.02	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,2',4,4'-Tetrahydroxybenzophenone	131555	C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O	0.96	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Hydroquinone,	95716	C1(C(=CC(=CC=1)O)C)O	1.86	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,4-Dimethylphenol	95658	CC1=C(C=C(C=C1)O)C	0.12	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-nitrosophenol	104916	N(=O)c1ccc(cc1)O	0.65	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Hydroquinone,	615678	C1(Cl)=C(O)C=CC(=C1)O	1.26	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-chloro-4-fluorophenol	2613-23-2	Clc1c(F)ccc(c1)O	1.13	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,4-dichlorophenol	95-77-2	Clc1c(Cl)ccc(c1)O	1.75	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,4-Benzenediol,	583697	C1(=CC=C(C(=C1)Br)O)O	1.68	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
